Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,168.358994,168.500000,167.600006,168.399994,153.188095,285
2016-06-08,168.044006,168.050995,167.399994,167.399994,152.278427,110
2016-06-09,167.692993,167.692993,166.899994,166.910004,151.832703,92
2016-06-10,165.998993,165.998993,164.699997,164.699997,149.822327,31
2016-06-13,161.177002,163.449997,161.177002,161.199997,146.638458,96
2016-06-14,160.798004,160.798004,159.000000,159.350006,144.955612,80
2016-06-15,159.819000,159.819000,159.819000,159.819000,145.382233,0
2016-06-16,158.630005,162.966995,158.630005,162.966995,148.245865,280
2016-06-17,162.457993,162.550003,160.449997,160.449997,145.956223,66
2016-06-20,163.483994,166.300003,163.326996,166.054001,151.054016,470
2016-06-21,165.587006,167.500000,164.649994,167.500000,152.369385,967
2016-06-22,168.654999,169.449997,167.490005,168.580002,153.351822,275
2016-06-23,169.253006,172.000000,169.199997,169.199997,153.915833,301
2016-06-24,149.000000,165.084000,149.000000,165.084000,150.171646,1236
2016-06-27,163.746002,166.350006,162.774002,163.000000,148.275864,462
2016-06-28,164.647995,166.350006,164.647995,165.899994,150.913910,523
2016-06-29,166.147995,167.850006,166.147995,167.850006,152.687790,20
2016-06-30,172.056000,173.149994,170.649994,173.149994,157.509003,85
2016-07-01,173.324997,173.750000,172.050003,173.750000,158.054810,20
2016-07-04,172.714005,173.899994,172.714005,173.899994,158.191254,143
2016-07-05,172.501999,172.501999,172.300003,172.300003,156.735794,50
2016-07-06,171.104996,171.800003,171.104996,171.699997,156.190002,63
2016-07-07,171.716995,172.449997,171.716995,172.449997,156.872238,20
2016-07-08,171.350006,171.649994,170.550003,171.649994,156.144501,525
2016-07-11,174.764999,174.764999,172.750000,172.850006,157.236099,936
2016-07-12,174.960999,174.960999,173.149994,173.307007,157.651840,212
2016-07-13,172.679993,173.679993,172.679993,173.679993,157.991135,70
2016-07-14,173.854004,174.449997,173.854004,174.449997,158.691589,11
2016-07-15,173.214996,173.699997,173.214996,173.699997,158.009338,18
2016-07-18,174.000000,174.250000,173.050003,174.250000,158.509659,845
2016-07-19,173.330002,173.330002,172.149994,172.149994,156.599350,2
2016-07-20,171.574005,174.149994,171.574005,174.149994,158.418686,100
2016-07-21,173.744995,173.800003,172.750000,173.197998,157.552673,132
2016-07-22,172.720001,172.720001,172.720001,172.720001,157.117859,0
2016-07-25,173.722000,176.199997,173.722000,174.600006,158.828033,405
2016-07-26,174.561996,177.649994,174.561996,177.649994,161.602524,506
2016-07-27,177.251007,177.251007,175.199997,175.199997,159.373840,536
2016-07-28,175.098999,175.600006,174.899994,174.899994,159.100937,98
2016-07-29,174.500000,174.500000,166.949997,170.746002,155.322189,359
2016-08-01,171.147995,171.147995,169.649994,170.649994,155.234848,33
2016-08-02,169.513000,170.449997,169.513000,169.770004,154.434341,53
2016-08-03,169.516998,169.516998,168.800003,169.399994,154.097763,1807
2016-08-04,169.352005,169.352005,168.350006,169.250000,153.961319,72
2016-08-05,170.016998,172.100006,170.016998,172.100006,156.553879,54
2016-08-08,172.949997,172.949997,170.630005,170.630005,155.216675,470
2016-08-09,170.371994,172.750000,170.371994,172.100006,156.553879,110
2016-08-10,173.292999,173.292999,172.899994,172.899994,157.281601,323
2016-08-11,172.585007,175.449997,172.585007,175.449997,159.601257,172
2016-08-12,175.000000,176.000000,175.000000,176.000000,160.101578,529
2016-08-15,177.250000,177.250000,176.000000,176.000000,160.101578,438
2016-08-16,174.964005,175.093002,174.050003,175.093002,159.276505,701
2016-08-17,174.307007,174.850006,174.199997,174.199997,158.464157,169
2016-08-18,174.317993,174.317993,173.000000,173.300003,157.645462,1306
2016-08-19,172.363007,172.363007,171.000000,172.050003,156.508392,144
2016-08-22,170.985001,173.050003,170.985001,171.149994,155.689667,399
2016-08-23,170.494003,172.449997,170.494003,171.649994,156.144501,67
2016-08-24,169.705002,170.899994,169.350006,170.899994,155.462250,170
